ZIP,PARENT_METRO_REGION,market_score,market_category,Median_Income,county_adj,score_adj,max_ltv,MEDIAN_SALE_PRICE,HOMES_SOLD,MEDIAN_DOM
92276,"Riverside, CA",41.53843730821492,Neutral,35048,-1,0,69,402000.0,2.0,57.5
90039,"Los Angeles, CA",83.94370632670133,Prime,51396,-2,2,70,1510000.0,39.0,29.0
90026,"Los Angeles, CA",17.15486134336297,Declining,42782,-2,-5,63,715000.0,1.0,60.0
92341,"Riverside, CA",18.00366129648774,Declining,28854,-1,-5,64,298540.0,6.0,138.5
91405,"Los Angeles, CA",44.39444788482213,Neutral,30745,-2,0,68,778500.0,45.0,50.5
91016,"Los Angeles, CA",77.55656482152973,Prime,46914,-2,2,70,1098000.0,54.0,43.0
91744,"Los Angeles, CA",76.71070424841666,Prime,30949,-2,2,70,737000.0,69.0,30.0
92583,"Riverside, CA",58.39425437765926,Neutral,30291,-1,0,69,480455.0,85.0,52.0
91792,"Los Angeles, CA",50.40867480994886,Neutral,39114,-2,0,68,579000.0,5.0,66.0
91754,"Los Angeles, CA",38.843391751141766,Neutral,37915,-2,0,68,695000.0,17.0,70.0
91710,"Riverside, CA",38.527981033700385,Neutral,40969,-1,0,69,530000.0,5.0,56.0
92395,"Riverside, CA",20.352285496088303,Declining,28603,-1,-5,64,229750.0,4.0,104.0
90260,"Los Angeles, CA",49.58285948710973,Neutral,36464,-2,0,68,775000.0,21.0,36.0
92316,"Riverside, CA",62.67589122487854,Neutral,33864,-1,0,69,560000.0,25.0,28.0
92879,"Riverside, CA",60.015496615011386,Neutral,38450,-1,0,69,715500.0,53.0,38.0
91801,"Los Angeles, CA",72.42340732049185,Prime,41008,-2,2,70,1020000.0,21.0,24.5
92882,"Riverside, CA",68.65133260359842,Neutral,41464,-1,0,69,800000.0,79.0,28.0
90056,"Los Angeles, CA",,Neutral,71011,-2,0,68,2500000.0,1.0,
91403,"Los Angeles, CA",49.20883702899973,Neutral,65370,-2,0,68,798500.0,6.0,56.5
91325,"Los Angeles, CA",54.91163446048408,Neutral,37107,-2,0,68,1085000.0,37.0,55.0
93516,"Riverside, CA",30.633879026058867,Declining,35278,-1,-5,64,399000.0,1.0,84.0
91105,"Los Angeles, CA",87.11919726320765,Prime,91447,-2,2,70,2719000.0,34.0,25.0
90250,"Los Angeles, CA",54.301823151802566,Neutral,36781,-2,0,68,1184500.0,4.0,16.0
91201,"Los Angeles, CA",18.065289115201523,Declining,33132,-2,-5,63,1675000.0,1.0,151.0
91723,"Los Angeles, CA",53.110265809270466,Neutral,41085,-2,0,68,905000.0,2.0,21.0
92395,"Riverside, CA",24.31573740151508,Declining,28603,-1,-5,64,360000.0,5.0,77.0
90048,"Los Angeles, CA",39.16628268014452,Neutral,74361,-2,0,68,2500000.0,19.0,174.0
92503,"Riverside, CA",40.015272537392335,Neutral,37066,-1,0,69,534250.0,2.0,50.5
92408,"Riverside, CA",25.655840343792125,Declining,27898,-1,-5,64,725000.0,1.0,99.0
92543,"Riverside, CA",30.362634076058914,Declining,25787,-1,-5,64,292000.0,3.0,24.0
90248,"Los Angeles, CA",55.939452794122126,Neutral,36495,-2,0,68,865000.0,3.0,32.0
90601,"Los Angeles, CA",33.596486219628865,Declining,47837,-2,-5,63,1200000.0,3.0,103.0
92592,"Riverside, CA",56.127594884023914,Neutral,53960,-1,0,69,536500.0,8.0,27.0
90813,"Los Angeles, CA",33.93273075084628,Declining,27428,-2,-5,63,620000.0,11.0,36.0
90232,"Los Angeles, CA",35.24935738523549,Neutral,69181,-2,0,68,1555000.0,8.0,92.5
92376,"Riverside, CA",63.90292507564128,Neutral,32752,-1,0,69,569000.0,69.0,44.0
